city,latitude,longitude,address
New York New York 10119,40.751713,-73.992701,1 Penn Plaza
Toronto Ontario M5C 2W5,43.652342,-79.379065,1 Queen St.  Yonge
Philadelphia Pennsylvania 19103,40.031792,-75.169396,10 Penn Center
Chicago Illinois 60601,41.881674,-87.638874,10 S. Riverside Plaza
New York New York 10007,40.713037,-74.009638,100 Church Street
Chicago Illinois 60606,41.880514,-87.637106,100 S. Wacker
New York New York 10005,40.705096,-74.007034,100 Wall St (New World)
Marina Del Rey California 90291,33.991358,-118.46523,100 Washington Blvd. - Marina Del R
San Francisco California 94127,37.739716,-122.467212,100 West Portal Vicente
New York New York 10038,40.70842,-74.007346,100 Williams Street
Louisville Kentucky 40204,38.239645,-85.723925,1000 Baxter Ave. Center
Tacoma Washington 98411,47.255165,-122.441654,100th - Bridgeport Way
Edmonton Alberta T5J 1V9,53.543163,-113.496477,101 - Jasper Ave-Empire Building
San Jose California 95113,37.33183,-121.890753,101 Center Park Plaza
Scottsdale Arizona 852602602,33.49398,-111.921219,101 Freeway - Raintree
Glendale Arizona 853080502,33.652798,-112.201942,101 Freeway - Union Hills Drive
Modesto California 953540824,37.64069,-121.000717,1021 10th Street - Modesto
Denver Colorado 80229,39.881058,-104.927162,102nd - Grant-Thornton
Hood River Oregon 97031,45.646264,-121.553875,1040 East Marina Road-Hood River
Westminster Colorado 80031,39.885064,-105.030329,104th Ave. - Federal Blvd.
Edmonton Alberta T5K 1M9,53.53725,-113.507509,104th Ave.-112th St.
Santa Fe New Mexico 87501,35.687218,-105.93971,106 W. San Francisco
Miami Florida 33176,25.672102,-80.370539,10834 SW 104th Street
Toronto Ontario M4W 2L4,43.678111,-79.390045,1088 Yonge St
Vancouver British Columbia V6Z 1P6,49.279067,-123.125438,1095 Howe
Philadelphia Pennsylvania 19106,39.94821,-75.142469,10th - Chestnut
Austin Texas 78701,30.26716,-97.742561,10th - Congress
McAllen Texas 78501,26.192816,-98.247063,10th - Expwy 83
Palmdale California 935513003,34.577538,-118.133522,10th - Hwy 14  Palmdale
Indianapolis Indiana 462023043,39.76693,-86.149963,10th - Indiana
